type,code,name,ISIN,start,market,group,CFI
,6483,原創生醫,TW0006483001,2024/03/29,興櫃,生技醫療業,ESVUFR
,6493,雷虎生,TW0006493000,2015/01/08,興櫃,生技醫療業,ESVUFR
,6518,康科特,TW0006518004,2015/05/13,興櫃,生技醫療業,ESVUFR
,6536,碩豐,TW0006536006,2015/06/18,興櫃,資訊服務業,ESVUFR
,6539,麗彤,TW0006539000,2015/10/15,興櫃,生技醫療業,ESVUFR
,6543,普惠醫工,TW0006543002,2019/03/27,興櫃,生技醫療業,ESVUFR
,6549,景凱,TW0006549009,2015/10/21,興櫃,生技醫療業,ESVUFR
,6555,榮炭,TW0006555006,2016/01/25,興櫃,電子零組件業,ESVUFR
,6559,研晶,TW0006559008,2015/12/15,興櫃,光電業,ESVUFR
,6563,映智,TW0006563000,2025/03/10,興櫃,半導體業,ESVUFR
,6564,安特羅,TW0006564008,2018/09/18,興櫃,生技醫療業,ESVUFR
,6565,物聯,TW0006565005,2017/01/18,興櫃,數位雲端,ESVUFR
,6572,博錸,TW0006572001,2016/02/26,興櫃,生技醫療業,ESVUFR
,6580,台睿,TW0006580004,2017/06/20,興櫃,生技醫療業,ESVUFR
,6583,友松,TW0006583008,2016/08/05,興櫃,文化創意業,ESVUFR
,6586,醣基,TW0006586001,2017/09/27,興櫃,生技醫療業,ESVUFR
,6595,光禹國際,TW0006595002,2019/01/11,興櫃,文化創意業,ESVUFR
,6599,普達系統,TW0006599004,2017/12/25,興櫃,電腦及週邊設備業,ESVUFR
,6604,儒億,TW0006604002,2025/10/28,興櫃,電機機械,ESVUFR
,6610,安成生技,TW0006610009,2016/12/27,興櫃,生技醫療業,ESVUFR
,6618,永虹先進,TW0006618002,2017/09/15,興櫃,化學工業,ESVUFR
,6621,華宇藥,TW0006621006,2017/08/18,興櫃,生技醫療業,ESVUFR
,6622,百聿數碼,TW0006622004,2017/05/22,興櫃,文化創意業,ESVUFR
,6634,欣耀,TW0006634009,2017/06/29,興櫃,生技醫療業,ESVUFR
,6638,沅聖,TW0006638000,2017/06/28,興櫃,電腦及週邊設備業,ESVUFR
,6639,源大環能,TW0006639008,2018/10/31,興櫃,油電燃氣業,ESVUFR
,6648,斯其大,TW0006648009,2017/09/04,興櫃,其他電子業,ESVUFR
,6650,帝圖,TW0006650005,2017/09/15,興櫃,文化創意業,ESVUFR
,6659,天明製藥,TW0006659006,2025/12/22,興櫃,生技醫療業,ESVUFR
,6665,康聯生醫,TW0006665003,2017/11/23,興櫃,生技醫療業,ESVUFR
,6673,和詮,TW0006673007,2018/03/07,興櫃,光電業,ESVUFR
,6676,祥翊,TW0006676000,2022/01/19,興櫃,生技醫療業,ESVUFR
,6677,瑩碩生技,TW0006677008,2018/06/27,興櫃,生技醫療業,ESVUFR
,6682,華旭先進,TW0006682008,2018/05/11,興櫃,光電業,ESVUFR
,6696,仁新,TW0006696008,2018/10/08,興櫃,生技醫療業,ESVUFR
,6704,國璽幹細胞,TW0006704000,2023/04/26,興櫃,生技醫療業,ESVUFR
,6705,振躍精密,TW0006705007,2018/10/31,興櫃,電機機械,ESVUFR
,6707,富基電通,TW0006707003,2022/07/21,興櫃,電子通路業,ESVUFR
,6709,昱厚生技,TW0006709009,2018/11/29,興櫃,生技醫療業,ESVUFR
,6723,傑智環境,TW0006723000,2018/12/26,興櫃,綠能環保,ESVUFR
,6729,機光科技,TW0006729007,2019/07/04,興櫃,光電業,ESVUFR
,6734,安盛生,TW0006734007,2019/06/28,興櫃,生技醫療業,ESVUFR
,6737,秀育,TW0006737000,2019/12/30,興櫃,電腦及週邊設備業,ESVUFR
,6738,鼎恒,TW0006738008,2019/08/23,興櫃,資訊服務業,ESVUFR
,6744,豐技生技,TW0006744006,2019/09/25,興櫃,生技醫療業,ESVUFR
,6748,亞果生醫,TW0006748007,2021/07/27,興櫃,生技醫療業,ESVUFR
,6750,泰創工程,TW0006750003,2019/11/11,興櫃,其他電子業,ESVUFR
,6755,連鋐科技,TW0006755002,2019/12/05,興櫃,電子零組件業,ESVUFR
,6758,冠亞,TW0006758006,2020/01/02,興櫃,生技醫療業,ESVUFR
,6775,穎台科技,TW0006775000,2020/05/29,興櫃,光電業,ESVUFR
,6780,學習王,TW0006780000,2020/07/23,興櫃,文化創意業,ESVUFR
,6784,天凱科技,TW0006784002,2020/11/18,興櫃,通信網路業,ESVUFR
,6786,芯測,TW0006786007,2020/08/19,興櫃,半導體業,ESVUFR
,6787,晶瑞光,TW0006787005,2021/04/16,興櫃,光電業,ESVUFR
,6793,天力離岸,TW0006793003,2020/10/30,興櫃,其他業,ESVUFR
,6797,圓點奈米,TW0006797004,2020/11/05,興櫃,生技醫療業,ESVUFR
,6798,展逸,TW0006798002,2023/04/27,興櫃,運動休閒,ESVUFR
,6808,三鼎生技,TW0006808009,2020/12/25,興櫃,生技醫療業,ESVUFR
,6810,新穎生醫,TW0006810005,2021/08/30,興櫃,生技醫療業,ESVUFR
,6812,梭特,TW0006812001,2021/02/04,興櫃,光電業,ESVUFR
,6814,路迦生醫,TW0006814007,2020/12/31,興櫃,生技醫療業,ESVUFR
,6815,晶鑽生醫,TW0006815004,2021/01/29,興櫃,生技醫療業,ESVUFR
,6816,捷智商訊,TW0006816002,2021/01/18,興櫃,資訊服務業,ESVUFR
,6817,溫士頓,TW0006817000,2021/02/24,興櫃,生技醫療業,ESVUFR
,6818,連騰,TW0006818008,2021/01/21,興櫃,通信網路業,ESVUFR
,6819,眾智,TW0006819006,2021/02/05,興櫃,半導體業,ESVUFR
,6820,連訊,TW0006820004,2021/03/22,興櫃,通信網路業,ESVUFR
,6825,和暢科技,TW0006825003,2021/04/29,興櫃,電腦及週邊設備業,ESVUFR
,6826,和淞,TW0006826001,2021/06/17,興櫃,其他電子業,ESVUFR
