type,code,name,ISIN,start,market,group,CFI
上市認購(售)權證,07981T,大同群益3A售10,TW24Z07981T3,2024/04/24,上市,,RWSCPE
上市認購(售)權證,079820,台積電群益41購09,TW24Z0798205,2024/02/19,上市,,RWSCCA
上市認購(售)權證,079821,矽統群益38購02,TW24Z0798213,2024/02/19,上市,,RWSCCA
上市認購(售)權證,079822,金像電群益39購01,TW24Z0798221,2024/02/19,上市,,RWSCCA
上市認購(售)權證,079823,技嘉群益38購12,TW24Z0798239,2024/02/19,上市,,RWSCCA
上市認購(售)權證,079824,技嘉群益38購13,TW24Z0798247,2024/02/19,上市,,RWSCCA
上市認購(售)權證,079825,台光電群益38購02,TW24Z0798254,2024/02/19,上市,,RWSCCA
上市認購(售)權證,079826,友達群益3B購05,TW24Z0798262,2024/02/19,上市,,RWSCCA
上市認購(售)權證,079827,聯發科群益38購12,TW24Z0798270,2024/02/19,上市,,RWSCCA
上市認購(售)權證,079828,全新群益38購02,TW24Z0798288,2024/02/19,上市,,RWSCCA
上市認購(售)權證,079829,長榮航群益39購08,TW24Z0798296,2024/02/19,上市,,RWSCCA
上市認購(售)權證,07982T,台光電群益3A售07,TW24Z07982T1,2024/04/24,上市,,RWSCPE
上市認購(售)權證,079830,台驊控群益38購02,TW24Z0798304,2024/02/19,上市,,RWSCCA
上市認購(售)權證,079831,奇鋐群益38購08,TW24Z0798312,2024/02/19,上市,,RWSCCA
上市認購(售)權證,079832,緯創群益38購02,TW24Z0798320,2024/02/19,上市,,RWSCCA
上市認購(售)權證,079833,緯創群益38購03,TW24Z0798338,2024/02/19,上市,,RWSCCA
上市認購(售)權證,079834,新日興群益38購05,TW24Z0798346,2024/02/19,上市,,RWSCCA
上市認購(售)權證,079835,群創群益38購09,TW24Z0798353,2024/02/19,上市,,RWSCCA
上市認購(售)權證,079836,嘉澤群益38購04,TW24Z0798361,2024/02/19,上市,,RWSCCA
上市認購(售)權證,079837,神達群益38購04,TW24Z0798379,2024/02/19,上市,,RWSCCA
上市認購(售)權證,079838,晶心科群益39購02,TW24Z0798387,2024/02/19,上市,,RWSCCA
上市認購(售)權證,079839,緯穎群益38購08,TW24Z0798395,2024/02/19,上市,,RWSCCA
上市認購(售)權證,07983T,奇鋐群益3A售13,TW24Z07983T9,2024/04/24,上市,,RWSCPE
上市認購(售)權證,079840,緯穎群益38購09,TW24Z0798403,2024/02/19,上市,,RWSCCA
上市認購(售)權證,079841,視陽群益38購01,TW24Z0798411,2024/02/19,上市,,RWSCCA
上市認購(售)權證,079842,采鈺群益38購03,TW24Z0798429,2024/02/19,上市,,RWSCCA
上市認購(售)權證,079843,采鈺群益3A購03,TW24Z0798437,2024/02/19,上市,,RWSCCA
上市認購(售)權證,079844,裕隆富邦3A購01,TW24Z0798445,2024/02/19,上市,,RWSCCA
上市認購(售)權證,079845,華通富邦38購04,TW24Z0798452,2024/02/19,上市,,RWSCCA
上市認購(售)權證,079846,矽統富邦39購01,TW24Z0798460,2024/02/19,上市,,RWSCCA
上市認購(售)權證,079847,長榮富邦41購01,TW24Z0798478,2024/02/19,上市,,RWSCCA
上市認購(售)權證,079848,華航富邦41購02,TW24Z0798486,2024/02/19,上市,,RWSCCA
上市認購(售)權證,079849,神基富邦42購01,TW24Z0798494,2024/02/19,上市,,RWSCCA
上市認購(售)權證,07984T,玉晶光群益3A售05,TW24Z07984T7,2024/04/24,上市,,RWSCPE
上市認購(售)權證,079850,奇鋐富邦3A購02,TW24Z0798502,2024/02/19,上市,,RWSCCA
上市認購(售)權證,079851,文曄富邦3B購01,TW24Z0798510,2024/02/19,上市,,RWSCCA
上市認購(售)權證,079852,緯創富邦38購03,TW24Z0798528,2024/02/19,上市,,RWSCCA
上市認購(售)權證,079853,緯創富邦3C購01,TW24Z0798536,2024/02/19,上市,,RWSCCA
上市認購(售)權證,079854,緯穎富邦38購01,TW24Z0798544,2024/02/19,上市,,RWSCCA
上市認購(售)權證,079855,緯穎富邦39購03,TW24Z0798551,2024/02/19,上市,,RWSCCA
上市認購(售)權證,079856,采鈺富邦3A購01,TW24Z0798569,2024/02/19,上市,,RWSCCA
上市認購(售)權證,079857,台灣50永豐38購05,TW24Z0798577,2024/02/20,上市,,RWBCCA
上市認購(售)權證,079858,台灣50永豐38購06,TW24Z0798585,2024/02/20,上市,,RWBCCA
上市認購(售)權證,079859,華通永豐39購01,TW24Z0798593,2024/02/20,上市,,RWSCCA
上市認購(售)權證,07985T,大同元富3A售12,TW24Z07985T4,2024/04/24,上市,,RWSCPE
上市認購(售)權證,079860,華泰永豐39購03,TW24Z0798601,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079861,台積電永豐38購04,TW24Z0798619,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079862,台積電永豐38購05,TW24Z0798627,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079863,台積電永豐38購06,TW24Z0798635,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079864,矽統永豐38購04,TW24Z0798643,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079865,金像電永豐38購04,TW24Z0798650,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079866,技嘉永豐38購06,TW24Z0798668,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079867,技嘉永豐3A購06,TW24Z0798676,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079868,台光電永豐38購04,TW24Z0798684,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079869,奇鋐永豐38購06,TW24Z0798692,2024/02/20,上市,,RWSCCA
上市認購(售)權證,07986T,大同元富3A售13,TW24Z07986T2,2024/04/24,上市,,RWSCPE
上市認購(售)權證,079870,健鼎永豐39購02,TW24Z0798700,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079871,緯創永豐39購05,TW24Z0798718,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079872,京鼎永豐3A購01,TW24Z0798726,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079873,創意永豐38購03,TW24Z0798734,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079874,創意永豐38購04,TW24Z0798742,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079875,創意永豐39購04,TW24Z0798759,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079876,創意永豐39購05,TW24Z0798767,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079877,創意永豐3A購03,TW24Z0798775,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079878,創意永豐3A購04,TW24Z0798783,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079879,創意永豐3A購05,TW24Z0798791,2024/02/20,上市,,RWSCCA
上市認購(售)權證,07987T,奇鋐元富3A售10,TW24Z07987T0,2024/04/24,上市,,RWSCPE
上市認購(售)權證,079880,材料永豐3A購02,TW24Z0798809,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079881,新唐永豐39購01,TW24Z0798817,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079882,晶心科永豐39購02,TW24Z0798825,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079883,技嘉第一38購01,TW24Z0798833,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079884,滬深2X凱基42購02,TW24Z0798841,2024/02/20,上市,,RWBCCA
上市認購(售)權證,079885,中502X凱基38購01,TW24Z0798858,2024/02/20,上市,,RWBCCA
上市認購(售)權證,079886,中高息凱基39購01,TW24Z0798866,2024/02/20,上市,,RWBCCA
上市認購(售)權證,079887,川湖凱基39購06,TW24Z0798874,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079888,華通凱基38購07,TW24Z0798882,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079889,華泰凱基38購04,TW24Z0798890,2024/02/20,上市,,RWSCCA
上市認購(售)權證,07988T,臺股指元富3A售29,TW24Z07988T8,2024/04/24,上市,,RWICPE
上市認購(售)權證,079890,台積電凱基38購17,TW24Z0798908,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079891,台積電凱基3A購06,TW24Z0798916,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079892,台積電凱基45購01,TW24Z0798924,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079893,矽統凱基3A購01,TW24Z0798932,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079894,技嘉凱基3B購02,TW24Z0798940,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079895,台光電凱基38購06,TW24Z0798957,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079896,建準凱基38購04,TW24Z0798965,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079897,志聖凱基38購01,TW24Z0798973,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079898,奇鋐凱基39購07,TW24Z0798981,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079899,緯創凱基3A購07,TW24Z0798999,2024/02/20,上市,,RWSCCA
上市認購(售)權證,07989T,臺股指元富3A售30,TW24Z07989T6,2024/04/24,上市,,RWICPE
上市認購(售)權證,079900,緯創凱基3C購07,TW24Z0799005,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079901,緯創凱基42購02,TW24Z0799013,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079902,玉晶光凱基39購04,TW24Z0799021,2024/02/20,上市,,RWSCCA
